question_id,baseline,p1_format,p1_format_soft,p2_complexity,p4_role,p5_fewshot
0,1,1,1,1,1,1
1,1,1,1,1,1,1
5,1,1,1,1,1,1
7,1,1,1,1,1,1
9,1,1,1,1,1,1
13,1,1,1,1,1,1
14,1,1,1,1,1,1
15,1,1,1,1,1,1
16,1,1,1,1,1,1
18,1,1,1,1,1,1
19,1,1,1,1,1,1
23,1,1,1,1,1,1
24,1,0,1,0,1,1
31,1,1,1,1,1,1
33,1,1,1,1,1,1
35,1,1,1,1,1,1
38,1,1,1,1,1,1
40,1,1,1,1,1,1
43,1,1,1,1,1,1
44,1,1,1,1,1,1
48,1,1,1,1,1,1
54,1,1,1,1,1,1
58,1,1,1,1,1,1
59,1,1,1,1,1,1
60,1,1,1,1,1,1
64,1,1,1,1,1,1
68,1,1,1,1,1,1
72,1,1,1,1,1,1
81,1,1,1,1,1,1
85,1,1,1,1,1,1
89,1,1,1,1,1,1
92,1,1,1,1,1,1
93,1,1,1,1,1,1
95,1,1,1,1,1,1
100,1,1,1,1,1,1
102,1,1,1,1,1,1
104,1,1,1,1,1,1
112,1,1,1,1,1,1
116,1,1,1,1,1,1
118,1,1,1,1,1,1
120,1,1,1,1,1,1
122,1,1,1,1,1,1
123,1,1,1,1,1,1
133,1,1,1,1,1,1
138,1,1,1,1,1,1
140,1,1,1,1,1,1
141,1,1,1,1,1,1
142,1,1,1,1,1,1
149,1,1,1,1,1,1
151,1,1,1,1,1,1
153,1,1,1,1,1,1
156,1,1,1,1,1,1
159,1,1,1,1,1,1
160,1,1,1,1,1,1
176,1,1,1,1,1,1
181,1,1,1,1,1,1
184,1,1,1,1,1,1
185,1,1,1,1,1,1
186,1,1,1,1,1,1
200,1,1,1,1,1,1
210,1,1,1,1,1,1
211,1,1,1,1,1,1
212,1,1,1,1,1,1
214,1,1,1,1,1,1
215,1,1,1,1,1,1
217,1,1,1,1,1,1
218,1,1,1,1,1,1
225,1,1,1,1,1,1
227,1,1,1,1,1,1
229,1,1,1,1,1,1
230,1,1,1,1,1,1
232,1,1,1,1,1,1
233,1,1,1,1,1,1
234,1,1,1,1,1,1
235,1,1,1,1,1,1
236,1,1,1,1,1,1
237,1,1,1,1,1,1
238,1,1,1,1,1,1
239,1,1,1,1,1,1
241,1,1,1,1,1,1
242,1,1,1,1,1,1
243,1,1,1,1,1,1
245,1,1,1,1,1,1
247,1,1,1,1,1,1
248,1,1,0,1,1,0
251,1,1,1,1,1,1
252,1,1,1,1,1,1
253,1,1,1,1,1,1
255,1,1,1,1,1,1
262,1,1,1,1,1,1
263,1,1,1,1,1,1
266,1,1,1,1,1,1
272,1,1,1,1,1,1
273,1,1,1,1,1,1
274,1,1,1,1,1,1
276,1,1,1,1,1,1
279,1,1,1,1,1,1
280,1,1,1,1,1,1
281,1,1,1,1,1,1
282,1,1,1,1,1,1
283,1,1,1,1,1,1
284,1,1,1,1,1,1
285,1,1,1,1,1,1
287,1,1,1,1,1,1
288,1,1,1,1,1,1
289,1,1,1,1,1,1
290,1,1,1,1,1,1
302,1,1,1,1,1,1
307,1,1,1,1,1,1
311,1,1,1,1,1,1
329,1,1,1,1,1,1
330,1,1,1,1,1,1
333,1,1,1,1,1,1
336,1,1,1,1,1,1
337,1,1,1,1,1,1
340,1,1,1,1,1,1
341,1,1,1,1,1,1
349,1,1,1,1,1,1
352,1,1,1,1,1,1
354,1,1,1,1,1,1
372,1,1,1,1,1,1
384,1,1,1,1,1,1
389,1,1,1,1,1,1
390,1,1,1,1,1,1
392,1,1,1,1,1,1
393,1,1,1,1,1,1
396,1,1,1,1,1,1
397,1,1,1,1,1,1
399,0,1,1,1,1,1
405,1,1,1,1,1,1
406,1,1,1,1,1,1
407,1,1,1,1,1,1
409,1,1,1,1,1,1
410,1,1,1,1,1,1
412,1,1,1,1,1,1
416,1,1,1,1,1,1
467,1,1,1,1,1,1
470,1,1,1,1,1,1
482,1,1,1,1,1,1
484,1,1,1,1,1,1
485,1,1,1,1,1,1
486,1,1,1,1,1,1
487,1,1,1,1,1,1
490,1,1,1,1,1,1
493,1,1,1,1,1,1
497,1,1,1,1,1,1
502,1,1,1,1,1,1
506,1,1,1,1,1,1
511,1,1,1,1,1,1
515,1,1,1,1,1,1
518,1,1,1,1,1,1
521,1,1,1,1,1,1
523,1,1,1,1,1,1
524,1,1,1,1,1,1
525,1,1,1,1,1,1
527,1,1,1,1,1,1
530,1,1,1,1,1,1
546,1,1,1,1,1,1
553,1,1,1,1,1,1
555,1,1,1,1,1,1
568,1,1,1,1,1,1
569,1,1,1,1,1,1
570,1,1,1,1,1,1
573,1,1,1,1,1,1
583,1,1,1,1,1,1
591,1,1,1,1,1,1
594,1,1,1,1,1,1
595,1,1,1,1,1,1
602,1,1,1,1,1,1
606,1,1,1,1,1,1
610,1,1,1,1,1,1
614,1,1,1,1,1,1
618,1,1,1,1,1,1
627,1,1,1,1,1,1
629,1,1,1,1,1,1
637,1,1,1,1,1,1
638,1,1,1,1,1,1
639,1,1,1,1,1,1
640,1,1,1,1,1,1
642,1,1,1,1,1,1
644,1,1,1,1,1,1
646,1,1,1,1,1,1
651,1,1,1,1,1,1
652,1,1,1,1,1,1
655,1,1,1,1,1,1
656,1,1,1,1,1,1
657,1,1,1,1,1,1
658,1,1,1,1,1,1
660,1,1,1,1,1,1
661,1,1,1,1,1,1
663,1,1,0,1,1,1
664,1,1,1,1,1,1
666,1,1,1,1,1,1
667,1,1,1,1,1,1
674,1,1,1,1,1,1
676,1,1,1,1,1,1
677,1,1,1,1,1,1
678,1,1,1,1,1,1
687,1,1,1,1,1,1
690,1,1,1,1,1,1
691,1,1,1,1,1,1
693,1,1,1,1,1,1
695,1,1,1,1,1,1
696,1,1,1,1,1,1
700,1,1,1,1,1,1
702,1,1,1,1,1,1
703,1,1,1,1,1,1
708,1,1,1,1,1,1
711,1,1,1,1,1,1
712,1,1,1,1,1,1
713,1,1,1,1,1,1
