custom_id,unique_id,full_name,perturbation_type,gold,predicted,finish_reason,correct
0,ll_0000,Miguel Ortiz,p1_format,lz,lz,stop,1
1,ll_0000,Miguel Ortiz,p1_format_soft,lz,lz,stop,1
2,ll_0000,Miguel Ortiz,p2_complexity,lz,lz,stop,1
3,ll_0000,Miguel Ortiz,p4_role,lz,lz,stop,1
4,ll_0000,Miguel Ortiz,p5_fewshot,lz,lz,stop,1
5,ll_0001,Angela Vega,p1_format,aa,aa,stop,1
6,ll_0001,Angela Vega,p1_format_soft,aa,aa,stop,1
7,ll_0001,Angela Vega,p2_complexity,aa,aa,stop,1
8,ll_0001,Angela Vega,p4_role,aa,aa,stop,1
9,ll_0001,Angela Vega,p5_fewshot,aa,aa,stop,1
10,ll_0002,Angel Perez,p1_format,lz,lz,stop,1
11,ll_0002,Angel Perez,p1_format_soft,lz,lz,stop,1
12,ll_0002,Angel Perez,p2_complexity,lz,lz,stop,1
13,ll_0002,Angel Perez,p4_role,lz,lz,stop,1
14,ll_0002,Angel Perez,p5_fewshot,lz,lz,stop,1
15,ll_0003,Anthony Gonzales,p1_format,ys,ys,stop,1
16,ll_0003,Anthony Gonzales,p1_format_soft,ys,ys,stop,1
17,ll_0003,Anthony Gonzales,p2_complexity,ys,ys,stop,1
18,ll_0003,Anthony Gonzales,p4_role,ys,ys,stop,1
19,ll_0003,Anthony Gonzales,p5_fewshot,ys,ys,stop,1
20,ll_0004,John Salazar,p1_format,nr,nr,stop,1
21,ll_0004,John Salazar,p1_format_soft,nr,nr,stop,1
22,ll_0004,John Salazar,p2_complexity,nr,nr,stop,1
23,ll_0004,John Salazar,p4_role,nr,nr,stop,1
24,ll_0004,John Salazar,p5_fewshot,nr,nr,stop,1
25,ll_0005,Tony Vega,p1_format,ya,ya,stop,1
26,ll_0005,Tony Vega,p1_format_soft,ya,ya,stop,1
27,ll_0005,Tony Vega,p2_complexity,ya,ya,stop,1
28,ll_0005,Tony Vega,p4_role,ya,ya,stop,1
29,ll_0005,Tony Vega,p5_fewshot,ya,ya,stop,1
30,ll_0006,Ashley Herrera,p1_format,ya,ya,stop,1
31,ll_0006,Ashley Herrera,p1_format_soft,ya,ya,stop,1
32,ll_0006,Ashley Herrera,p2_complexity,ya,ya,stop,1
33,ll_0006,Ashley Herrera,p4_role,ya,ya,stop,1
34,ll_0006,Ashley Herrera,p5_fewshot,ya,ya,stop,1
35,ll_0007,Brandon Harris,p1_format,ns,ns,stop,1
36,ll_0007,Brandon Harris,p1_format_soft,ns,ns,stop,1
37,ll_0007,Brandon Harris,p2_complexity,ns,ns,stop,1
38,ll_0007,Brandon Harris,p4_role,ns,ns,stop,1
39,ll_0007,Brandon Harris,p5_fewshot,ns,ns,stop,1
40,ll_0008,Veronica Garza,p1_format,aa,aa,stop,1
41,ll_0008,Veronica Garza,p1_format_soft,aa,aa,stop,1
42,ll_0008,Veronica Garza,p2_complexity,aa,aa,stop,1
43,ll_0008,Veronica Garza,p4_role,aa,aa,stop,1
44,ll_0008,Veronica Garza,p5_fewshot,aa,aa,stop,1
45,ll_0009,Anna Vazquez,p1_format,az,az,stop,1
46,ll_0009,Anna Vazquez,p1_format_soft,az,az,stop,1
