custom_id,unique_id,text,label,perturbation_type,gold,predicted,finish_reason,correct
0,mf_0000,Deal summary Helen Oy / Infratek Finland Oy,Finance,p1_format,B,A,stop,0
1,mf_0000,Deal summary Helen Oy / Infratek Finland Oy,Finance,p1_format_soft,B,A,stop,0
2,mf_0000,Deal summary Helen Oy / Infratek Finland Oy,Finance,p2_complexity,B,B,stop,1
3,mf_0000,Deal summary Helen Oy / Infratek Finland Oy,Finance,p4_role,B,A,stop,0
4,mf_0000,Deal summary Helen Oy / Infratek Finland Oy,Finance,p5_fewshot,B,A,stop,0
5,mf_0001,Deals,Finance,p1_format,B,B,stop,1
6,mf_0001,Deals,Finance,p1_format_soft,B,B,stop,1
7,mf_0001,Deals,Finance,p2_complexity,B,B,stop,1
8,mf_0001,Deals,Finance,p4_role,B,B,stop,1
9,mf_0001,Deals,Finance,p5_fewshot,B,B,stop,1
10,mf_0002,PwC named a Major Player in the IDC MarketScape for Worldwide Intelligent Automation Services 2019,Technology,p1_format,F,F,stop,1
11,mf_0002,PwC named a Major Player in the IDC MarketScape for Worldwide Intelligent Automation Services 2019,Technology,p1_format_soft,F,F,stop,1
12,mf_0002,PwC named a Major Player in the IDC MarketScape for Worldwide Intelligent Automation Services 2019,Technology,p2_complexity,F,F,stop,1
13,mf_0002,PwC named a Major Player in the IDC MarketScape for Worldwide Intelligent Automation Services 2019,Technology,p4_role,F,F,stop,1
14,mf_0002,PwC named a Major Player in the IDC MarketScape for Worldwide Intelligent Automation Services 2019,Technology,p5_fewshot,F,F,stop,1
15,mf_0003,Proposal for digital services tax ,Tax & Accounting,p1_format,E,E,stop,1
16,mf_0003,Proposal for digital services tax ,Tax & Accounting,p1_format_soft,E,E,stop,1
17,mf_0003,Proposal for digital services tax ,Tax & Accounting,p2_complexity,E,E,stop,1
18,mf_0003,Proposal for digital services tax ,Tax & Accounting,p4_role,E,E,stop,1
19,mf_0003,Proposal for digital services tax ,Tax & Accounting,p5_fewshot,E,E,stop,1
20,mf_0004,Social Impact Lab,Business & Management,p1_format,A,B,stop,0
21,mf_0004,Social Impact Lab,Business & Management,p1_format_soft,A,A,stop,1
22,mf_0004,Social Impact Lab,Business & Management,p2_complexity,A,B,stop,0
23,mf_0004,Social Impact Lab,Business & Management,p4_role,A,A,stop,1
24,mf_0004,Social Impact Lab,Business & Management,p5_fewshot,A,A,stop,1
25,mf_0005,International Financial Reporting Standards (IFRS),Tax & Accounting,p1_format,E,E,stop,1
26,mf_0005,International Financial Reporting Standards (IFRS),Tax & Accounting,p1_format_soft,E,E,stop,1
27,mf_0005,International Financial Reporting Standards (IFRS),Tax & Accounting,p2_complexity,E,E,stop,1
28,mf_0005,International Financial Reporting Standards (IFRS),Tax & Accounting,p4_role,E,E,stop,1
29,mf_0005,International Financial Reporting Standards (IFRS),Tax & Accounting,p5_fewshot,E,E,stop,1
30,mf_0006,Tax and legal news 4 November 2016,Tax & Accounting,p1_format,E,E,stop,1
31,mf_0006,Tax and legal news 4 November 2016,Tax & Accounting,p1_format_soft,E,E,stop,1
32,mf_0006,Tax and legal news 4 November 2016,Tax & Accounting,p2_complexity,E,E,stop,1
33,mf_0006,Tax and legal news 4 November 2016,Tax & Accounting,p4_role,E,E,stop,1
34,mf_0006,Tax and legal news 4 November 2016,Tax & Accounting,p5_fewshot,E,E,stop,1
35,mf_0007,Financial Crime,Government & Controls,p1_format,C,B,stop,0
36,mf_0007,Financial Crime,Government & Controls,p1_format_soft,C,B,stop,0
37,mf_0007,Financial Crime,Government & Controls,p2_complexity,C,B,stop,0
38,mf_0007,Financial Crime,Government & Controls,p4_role,C,B,stop,0
39,mf_0007,Financial Crime,Government & Controls,p5_fewshot,C,B,stop,0
40,mf_0008,"Information Technologies Organisation, Process and Control Services",Technology,p1_format,F,F,stop,1
41,mf_0008,"Information Technologies Organisation, Process and Control Services",Technology,p1_format_soft,F,F,stop,1
42,mf_0008,"Information Technologies Organisation, Process and Control Services",Technology,p2_complexity,F,F,stop,1
43,mf_0008,"Information Technologies Organisation, Process and Control Services",Technology,p4_role,F,F,stop,1
44,mf_0008,"Information Technologies Organisation, Process and Control Services",Technology,p5_fewshot,F,F,stop,1
45,mf_0009,PwC’s Global Artificial Intelligence Study: Sizing the prize,Technology,p1_format,F,F,stop,1
46,mf_0009,PwC’s Global Artificial Intelligence Study: Sizing the prize,Technology,p1_format_soft,F,F,stop,1
47,mf_0009,PwC’s Global Artificial Intelligence Study: Sizing the prize,Technology,p2_complexity,F,F,stop,1
48,mf_0009,PwC’s Global Artificial Intelligence Study: Sizing the prize,Technology,p4_role,F,F,stop,1
49,mf_0009,PwC’s Global Artificial Intelligence Study: Sizing the prize,Technology,p5_fewshot,F,F,stop,1
50,mf_0010,"Information Technologies Transformation, Strategy and Governance Services",Technology,p1_format,F,F,stop,1
51,mf_0010,"Information Technologies Transformation, Strategy and Governance Services",Technology,p1_format_soft,F,F,stop,1
52,mf_0010,"Information Technologies Transformation, Strategy and Governance Services",Technology,p2_complexity,F,F,stop,1
53,mf_0010,"Information Technologies Transformation, Strategy and Governance Services",Technology,p4_role,F,F,stop,1
54,mf_0010,"Information Technologies Transformation, Strategy and Governance Services",Technology,p5_fewshot,F,F,stop,1
55,mf_0011,Avoid Earnings Surprises after closing an M&A acquisition,Finance,p1_format,B,B,stop,1
56,mf_0011,Avoid Earnings Surprises after closing an M&A acquisition,Finance,p1_format_soft,B,B,stop,1
57,mf_0011,Avoid Earnings Surprises after closing an M&A acquisition,Finance,p2_complexity,B,B,stop,1
58,mf_0011,Avoid Earnings Surprises after closing an M&A acquisition,Finance,p4_role,B,B,stop,1
59,mf_0011,Avoid Earnings Surprises after closing an M&A acquisition,Finance,p5_fewshot,B,B,stop,1
60,mf_0012,Global Entertainment & Media Outlook 2018–2022,Industry,p1_format,D,D,stop,1
61,mf_0012,Global Entertainment & Media Outlook 2018–2022,Industry,p1_format_soft,D,D,stop,1
62,mf_0012,Global Entertainment & Media Outlook 2018–2022,Industry,p2_complexity,D,D,stop,1
63,mf_0012,Global Entertainment & Media Outlook 2018–2022,Industry,p4_role,D,D,stop,1
64,mf_0012,Global Entertainment & Media Outlook 2018–2022,Industry,p5_fewshot,D,D,stop,1
65,mf_0013,Transcript: Tax bulletins summary / October 2019,Tax & Accounting,p1_format,E,E,stop,1
66,mf_0013,Transcript: Tax bulletins summary / October 2019,Tax & Accounting,p1_format_soft,E,E,stop,1
67,mf_0013,Transcript: Tax bulletins summary / October 2019,Tax & Accounting,p2_complexity,E,E,stop,1
68,mf_0013,Transcript: Tax bulletins summary / October 2019,Tax & Accounting,p4_role,E,E,stop,1
69,mf_0013,Transcript: Tax bulletins summary / October 2019,Tax & Accounting,p5_fewshot,E,E,stop,1
70,mf_0014,Global study on CEO trends indicates a significant uptick in CEOs forced out of office for ethical lapses,Business & Management,p1_format,A,A,stop,1
71,mf_0014,Global study on CEO trends indicates a significant uptick in CEOs forced out of office for ethical lapses,Business & Management,p1_format_soft,A,A,stop,1
72,mf_0014,Global study on CEO trends indicates a significant uptick in CEOs forced out of office for ethical lapses,Business & Management,p2_complexity,A,A,stop,1
73,mf_0014,Global study on CEO trends indicates a significant uptick in CEOs forced out of office for ethical lapses,Business & Management,p4_role,A,A,stop,1
74,mf_0014,Global study on CEO trends indicates a significant uptick in CEOs forced out of office for ethical lapses,Business & Management,p5_fewshot,A,A,stop,1
75,mf_0015,"It’s time for family businesses to seize the opportunity of gender balance: Renate de Lange, PwC",Business & Management,p1_format,A,A,stop,1
76,mf_0015,"It’s time for family businesses to seize the opportunity of gender balance: Renate de Lange, PwC",Business & Management,p1_format_soft,A,A,stop,1
77,mf_0015,"It’s time for family businesses to seize the opportunity of gender balance: Renate de Lange, PwC",Business & Management,p2_complexity,A,A,stop,1
78,mf_0015,"It’s time for family businesses to seize the opportunity of gender balance: Renate de Lange, PwC",Business & Management,p4_role,A,A,stop,1
79,mf_0015,"It’s time for family businesses to seize the opportunity of gender balance: Renate de Lange, PwC",Business & Management,p5_fewshot,A,A,stop,1
80,mf_0016,Emerging Trends in Real Estate: Europe 2017,Industry,p1_format,D,D,stop,1
81,mf_0016,Emerging Trends in Real Estate: Europe 2017,Industry,p1_format_soft,D,D,stop,1
82,mf_0016,Emerging Trends in Real Estate: Europe 2017,Industry,p2_complexity,D,D,stop,1
83,mf_0016,Emerging Trends in Real Estate: Europe 2017,Industry,p4_role,D,D,stop,1
84,mf_0016,Emerging Trends in Real Estate: Europe 2017,Industry,p5_fewshot,D,D,stop,1
