custom_id,question_id,arc_id,answerKey,predicted,correct,parse_method,raw_response
0,0,Mercury_7175875,C,C,1,heuristic,C
1,1,Mercury_SC_409171,B,B,1,heuristic,B
2,2,Mercury_SC_408547,C,C,1,heuristic,C
3,3,Mercury_407327,D,D,1,heuristic,D
4,4,MCAS_2006_9_44,D,D,1,heuristic,D
5,5,Mercury_7270393,B,B,1,heuristic,B
6,6,MCAS_2014_5_7,C,C,1,heuristic,C
7,7,Mercury_7086660,C,C,1,heuristic,C
8,8,Mercury_7168805,B,B,1,heuristic,B
9,9,MCAS_2003_8_11,A,A,1,heuristic,A
10,10,Mercury_7250058,B,B,1,heuristic,B
11,11,Mercury_7012740,A,A,1,heuristic,A
12,12,Mercury_LBS10610,C,C,1,heuristic,C
13,13,Mercury_SC_407400,C,C,1,heuristic,C
14,14,Mercury_7212993,C,C,1,heuristic,C
15,15,Mercury_SC_413240,A,A,1,heuristic,A
16,16,Mercury_7186358,C,C,1,heuristic,C
17,17,Mercury_7166425,B,B,1,heuristic,B
18,18,MDSA_2007_8_3,A,A,1,heuristic,A
19,19,Mercury_7094290,C,C,1,heuristic,C
20,20,Mercury_7186568,B,B,1,heuristic,B
21,21,Mercury_402216,B,B,1,heuristic,B
22,22,Mercury_404894,A,A,1,heuristic,A
23,23,MCAS_2002_8_11,C,C,1,heuristic,C
24,24,Mercury_SC_405086,B,B,1,heuristic,B
25,25,Mercury_SC_408324,D,D,1,heuristic,D
26,26,Mercury_7218820,B,B,1,heuristic,B
27,27,Mercury_412202,B,B,1,heuristic,B
28,28,Mercury_SC_409139,C,C,1,heuristic,C
29,29,Mercury_400687,B,B,1,heuristic,B
30,30,Mercury_7171605,D,D,1,heuristic,D
31,31,Mercury_7210245,C,C,1,heuristic,C
32,32,AKDE&ED_2008_4_25,A,A,1,heuristic,A
33,33,AKDE&ED_2008_4_19,C,C,1,heuristic,C
34,34,Mercury_SC_400402,A,A,1,heuristic,A
35,35,Mercury_7234308,A,A,1,heuristic,A
36,36,ACTAAP_2014_5_8,B,B,1,heuristic,B
37,37,Mercury_400407,B,B,1,heuristic,B
38,38,Mercury_7116288,C,C,1,heuristic,C
39,39,MCAS_2004_9_15-v1,B,B,1,heuristic,B
40,40,NYSEDREGENTS_2015_4_26,C,C,1,heuristic,C
41,41,Mercury_SC_401620,A,A,1,heuristic,A
42,42,Mercury_400877,C,C,1,heuristic,C
43,43,Mercury_7174213,D,D,1,heuristic,D
44,44,NYSEDREGENTS_2008_8_34,B,B,1,heuristic,B
45,45,Mercury_7212398,B,B,1,heuristic,B
46,46,Mercury_SC_401290,C,C,1,heuristic,C
47,47,Mercury_SC_402120,C,C,1,heuristic,C
48,48,Mercury_184975,C,C,1,heuristic,C
49,49,Mercury_SC_400578,A,A,1,heuristic,A
50,50,MCAS_2001_8_4,D,D,1,heuristic,D
51,51,MCAS_2003_5_33,C,C,1,heuristic,C
52,52,Mercury_7068513,A,A,1,heuristic,A
53,53,AKDE&ED_2008_4_26,C,C,1,heuristic,C
54,54,Mercury_7235638,C,B,0,heuristic,B
55,55,MDSA_2009_5_20,B,B,1,heuristic,B
56,56,Mercury_178325,C,C,1,heuristic,C
57,57,Mercury_7212678,A,A,1,heuristic,A
58,58,TAKS_2009_8_32,A,A,1,heuristic,A
59,59,Mercury_412681,C,C,1,heuristic,C
60,60,Mercury_400440,D,D,1,heuristic,D
61,61,Mercury_SC_416529,B,B,1,heuristic,B
62,62,MCAS_2006_8_1,D,D,1,heuristic,D
63,63,TIMSS_2003_8_pg80,C,C,1,heuristic,C
64,64,Mercury_416645,D,D,1,heuristic,D
65,65,Mercury_406777,A,A,1,heuristic,A
66,66,Mercury_LBS11018,A,A,1,heuristic,A
67,67,Mercury_7139878,C,D,0,heuristic,D
68,68,Mercury_417147,B,B,1,heuristic,B
69,69,Mercury_7016765,A,A,1,heuristic,A
70,70,Mercury_415303,A,D,0,heuristic,D
71,71,Mercury_7215845,C,C,1,heuristic,C
72,72,Mercury_7136885,B,B,1,heuristic,B
73,73,Mercury_SC_400059,D,D,1,heuristic,D
74,74,Mercury_7044328,D,D,1,heuristic,D
75,75,MEA_2010_8_1,A,A,1,heuristic,A
76,76,Mercury_414099,B,B,1,heuristic,B
77,77,Mercury_410807,B,B,1,heuristic,B
78,78,Mercury_403234,B,B,1,heuristic,B
79,79,Mercury_7011323,A,A,1,heuristic,A
80,80,Mercury_7109463,D,D,1,heuristic,D
81,81,Mercury_SC_401277,C,C,1,heuristic,C
82,82,MCAS_2005_5_25,C,C,1,heuristic,C
83,83,Mercury_SC_401272,D,D,1,heuristic,D
84,84,Mercury_7103600,D,D,1,heuristic,D
85,85,MDSA_2009_8_2,A,A,1,heuristic,A
86,86,Mercury_7127943,A,A,1,heuristic,A
87,87,ACTAAP_2009_7_8,D,D,1,heuristic,D
88,88,MCAS_2006_9_43,C,C,1,heuristic,C
89,89,Mercury_7252088,C,C,1,heuristic,C
90,90,Mercury_7084665,A,A,1,heuristic,A
91,91,FCAT_2008_5_2,D,D,1,heuristic,D
92,92,Mercury_SC_414041,D,D,1,heuristic,D
93,93,MCAS_2014_8_20,A,A,1,heuristic,A
94,94,Mercury_SC_401116,B,B,1,heuristic,B
95,95,Mercury_7064680,C,C,1,heuristic,C
96,96,Mercury_7211680,C,C,1,heuristic,C
97,97,Mercury_180373,B,B,1,heuristic,B
98,98,Mercury_7216248,B,B,1,heuristic,B
99,99,Mercury_SC_417677,B,B,1,heuristic,B
100,100,Mercury_7221655,C,C,1,heuristic,C
101,101,MCAS_2006_9_12,D,D,1,heuristic,D
102,102,MCAS_2004_9_2,A,A,1,heuristic,A
103,103,Mercury_180005,B,B,1,heuristic,B
104,104,Mercury_7071523,C,C,1,heuristic,C
105,105,Mercury_7263375,B,B,1,heuristic,B
106,106,TIMSS_2011_8_pg102,D,D,1,heuristic,D
107,107,Mercury_406550,B,B,1,heuristic,B
108,108,Mercury_SC_400057,D,D,1,heuristic,D
109,109,TAKS_2009_5_26,A,A,1,heuristic,A
110,110,LEAP_2007_8_10417,A,A,1,heuristic,A
111,111,Mercury_7027405,A,A,1,heuristic,A
112,112,Mercury_7058415,A,B,0,heuristic,B
113,113,Mercury_7215828,A,A,1,heuristic,A
114,114,Mercury_7064575,B,B,1,heuristic,B
115,115,Mercury_7097493,D,D,1,heuristic,D
116,116,AKDE&ED_2008_8_47,B,B,1,heuristic,B
117,117,Mercury_405136,C,C,1,heuristic,C
