custom_id,unique_id,text,label,gold,predicted,finish_reason,correct
0,mf_0000,Deal summary Helen Oy / Infratek Finland Oy,Finance,B,A,stop,0
1,mf_0001,Deals,Finance,B,B,stop,1
2,mf_0002,PwC named a Major Player in the IDC MarketScape for Worldwide Intelligent Automation Services 2019,Technology,F,F,stop,1
3,mf_0003,Proposal for digital services tax ,Tax & Accounting,E,E,stop,1
4,mf_0004,Social Impact Lab,Business & Management,A,A,stop,1
5,mf_0005,International Financial Reporting Standards (IFRS),Tax & Accounting,E,E,stop,1
6,mf_0006,Tax and legal news 4 November 2016,Tax & Accounting,E,E,stop,1
7,mf_0007,Financial Crime,Government & Controls,C,B,stop,0
8,mf_0008,"Information Technologies Organisation, Process and Control Services",Technology,F,F,stop,1
9,mf_0009,PwC’s Global Artificial Intelligence Study: Sizing the prize,Technology,F,F,stop,1
10,mf_0010,"Information Technologies Transformation, Strategy and Governance Services",Technology,F,F,stop,1
11,mf_0011,Avoid Earnings Surprises after closing an M&A acquisition,Finance,B,B,stop,1
12,mf_0012,Global Entertainment & Media Outlook 2018–2022,Industry,D,D,stop,1
13,mf_0013,Transcript: Tax bulletins summary / October 2019,Tax & Accounting,E,E,stop,1
14,mf_0014,Global study on CEO trends indicates a significant uptick in CEOs forced out of office for ethical lapses,Business & Management,A,A,stop,1
15,mf_0015,"It’s time for family businesses to seize the opportunity of gender balance: Renate de Lange, PwC",Business & Management,A,A,stop,1
16,mf_0016,Emerging Trends in Real Estate: Europe 2017,Industry,D,D,stop,1
17,mf_0017,PwC’s M&A team ranked as Poland’s deals leader by Mergermarket,Finance,B,B,stop,1
18,mf_0018,Healthcare revenue cycles remain complex,Industry,D,B,stop,0
19,mf_0019,Cyber risk considerations and impacts,Technology,F,F,stop,1
20,mf_0020,"European Council conclusions: Fairness, efficiency, and conforming to the digitalization as key areas of European tax policy",Tax & Accounting,E,E,stop,1
21,mf_0021,People and organisation,Business & Management,A,A,stop,1
