custom_id,unique_id,full_name,gold,predicted,finish_reason,correct
0,ll_0000,Miguel Ortiz,lz,lz,stop,1
1,ll_0001,Angela Vega,aa,aa,stop,1
2,ll_0002,Angel Perez,lz,lz,stop,1
3,ll_0003,Anthony Gonzales,ys,ys,stop,1
4,ll_0004,John Salazar,nr,nr,stop,1
5,ll_0005,Tony Vega,ya,ya,stop,1
6,ll_0006,Ashley Herrera,ya,ya,stop,1
7,ll_0007,Brandon Harris,ns,ns,stop,1
8,ll_0008,Veronica Garza,aa,aa,stop,1
9,ll_0009,Anna Vazquez,az,az,stop,1
10,ll_0010,Maria Adams,as,as,stop,1
11,ll_0011,Cindy Garza,ya,ya,stop,1
12,ll_0012,Martha Soto,ao,ao,stop,1
13,ll_0013,Scott Johnson,tn,tn,stop,1
14,ll_0014,Samantha Anderson,an,an,stop,1
15,ll_0015,Javier Maldonado,ro,ro,stop,1
16,ll_0016,Linda King,ag,ag,stop,1
17,ll_0017,Angel Contreras,ls,ls,stop,1
18,ll_0018,Carmen Reyes,ns,ns,stop,1
19,ll_0019,Samantha Harris,as,as,stop,1
20,ll_0020,Kimberly Diaz,yz,yz,stop,1
21,ll_0021,Christopher Vazquez,rz,rz,stop,1
22,ll_0022,Carmen Rivera,na,na,stop,1
23,ll_0023,Amy Herrera,ya,ya,stop,1
24,ll_0024,Luis Lewis,ss,ss,stop,1
25,ll_0025,Joe James,es,es,stop,1
26,ll_0026,Cindy Silva,ya,ya,stop,1
27,ll_0027,Joseph Santiago,ho,ho,stop,1
28,ll_0028,Paul Wright,lt,lt,stop,1
29,ll_0029,Jonathan Hernandez,nz,nz,stop,1
30,ll_0030,Michael Walker,lr,lr,stop,1
31,ll_0031,Teresa Scott,at,at,stop,1
32,ll_0032,Laura Estrada,aa,aa,stop,1
33,ll_0033,Jesus Williams,ss,ss,stop,1
34,ll_0034,Emily Romero,yo,yo,stop,1
35,ll_0035,Joseph Hill,hl,hl,stop,1
